Site;Country;Type;Name;Lat;Lon
AZL;Benin;Lake;Lake Azili;7.266197222;2.459091667
BOC;Ivory Coast;Pond;Bocanda Pond;7.89386944;-4.517356944
DINA;Gabon;Lake;Lake Dina;0.40179;9.39045
DKL;CAR;Lake;Lake Doukoulou;4.251155;18.42417389
DTO;Benin;Lake;Lake Djeto;6.615013889;1.719994444
ELI;Gabon;Lake;Lake Eliwawanyé;0.53277;9.47062
ESB;Gabon;Lake;Lake Eseb;0.51044;9.5606
FBA;Benin;Pond;FBA pond;9.220646111;2.257493889
GBL;CAR;Lake;Lake Gbali;4.818491944;18.26321694
GRO;Benin;Reservoir;Guinagourou Reservoir;9.58634;2.92633
NAP;Ivory Coast;Reservoir;Lofa Reservoir;9.270925833;-5.587413056
NDA;Gabon;Lake;Lake Ndaminze;0.42382;9.5442
NGG;CAR;Lake;Lake Nguengue;3.768;18.121475
NGO;Congo;Lake;Lake Ngofouo;-3.795555556;14.80472194
NIAK;Ivory Coast;Reservoir;Niakara Reservoir;8.644203056;-5.257648056
NIN;Ivory Coast;Reservoir;Nindio Reservoir;9.529485833;-5.660255
NON;Ivory Coast;Reservoir;Nondogo Reservoir;8.193278056;-4.400328889
R1;Gabon;Reservoir;Lopé Reservoir;0.110025;11.59710694
SLE;Benin;Lake;Lake Sélé;7.153125;2.440863889
