"Site","Charcoal_total","Mean","Median","StandardDeviataion","Country"
"AZL",147,13.3636363636364,16,6.26534479933431,"Benin"
"DTO",92,8.36363636363636,8,3.98177667060139,"Benin"
"FBA",278,278,278,NA,"Benin"
"GRO",228,9.5,8.5,7.21712938236105,"Benin"
"SLE",63,6.3,6,2.98328677803526,"Benin"
"DKL",11745,1067.72727272727,369,2030.95288428408,"CAR"
"GBL",119,6.61111111111111,4,7.78489403674826,"CAR"
"NGG",1324,120.363636363636,109,71.9253400788244,"CAR"
"NGO",573,71.625,65.5,32.666879251009,"Congo"
"DINA",64,12.8,13,8.25832912882503,"Gabon"
"ELI",421,28.0666666666667,25,11.2597048087839,"Gabon"
"ESB",130,8.66666666666667,10,3.51865775274498,"Gabon"
"NDA",397,30.5384615384615,31,10.4292488113589,"Gabon"
"R1",311,10.7241379310345,7,12.5638271913689,"Gabon"
"BOC",2487,276.333333333333,276,69.3271231193102,"Ivory Coast"
"NAP",695,15.7954545454545,15,13.924346330037,"Ivory Coast"
"NIAK",1775,49.3055555555556,48,34.7922975420418,"Ivory Coast"
"NIN",303,8.91176470588235,8.5,6.4871324713262,"Ivory Coast"
"NON",1413,26.6603773584906,21,22.866622800851,"Ivory Coast"
"DKL(b)",247,49.4,45,39.5069614118828,NA
